Year,Month,Region,Org Code,Org Name,A0,A1,A2
2021,1,Eng,Eng,England,1095747,767828,7599717
2021,1,North East and Yorkshire,Y63,North East and Yorkshire,144808,87819,1136505
2021,1,North West,Y62,North West,135444,107495,429219
2021,1,Midlands,Y60,Midlands,224747,163401,852593
2021,1,East of England,Y61,East of England,117139,77350,480117
2021,1,London,Y56,London,190269,133246,3085089
2021,1,South East,Y59,South East,175753,118577,1391412
2021,1,South West,Y58,South West,107587,79940,224782
2021,1,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,95484,74388,777241
2021,1,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,117139,77350,480117
2021,1,Y59,R1F,ISLE OF WIGHT NHS TRUST,3380,1987,18773
2021,1,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,190269,133246,3085089
2021,1,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,47331,35406,569863
2021,1,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,135444,107495,429219
2021,1,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,80368,46328,331938
2021,1,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,92005,70262,1040701
2021,1,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,107587,79940,224782
2021,1,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,129263,89013,75352
2021,1,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,97477,52413,566642
2021,2,Eng,Eng,England,841152,580385,1508157
2021,2,North East and Yorkshire,Y63,North East and Yorkshire,125086,73167,438105
2021,2,North West,Y62,North West,105165,81512,84545
2021,2,Midlands,Y60,Midlands,180163,127951,362752
2021,2,East of England,Y61,East of England,87957,57494,156031
2021,2,London,Y56,London,124928,91747,28843
2021,2,South East,Y59,South East,130280,84731,274060
2021,2,South West,Y58,South West,87573,63783,163821
2021,2,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,78431,59718,347005
2021,2,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,87957,57494,156031
2021,2,Y59,R1F,ISLE OF WIGHT NHS TRUST,2552,1234,9298
2021,2,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,124928,91747,28843
2021,2,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,40820,28898,273397
2021,2,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,105165,81512,84545
